"filename", "language", "ASP.NET Razor", "JSON", "XML", "C#", "JavaScript", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\Максим\Documents\Antro\src\Antro.Application\AmountEvaluator.cs", "C#", 0, 0, 0, 243, 0, 0, 0, 0, 38, 281
"c:\Users\Максим\Documents\Antro\src\Antro.Application\Antro.Application.csproj", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Максим\Documents\Antro\src\Antro.Application\ApplicationDisplayText.cs", "C#", 0, 0, 0, 161, 0, 0, 0, 0, 18, 179
"c:\Users\Максим\Documents\Antro\src\Antro.Application\ApplicationPlaceholder.cs", "C#", 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\Максим\Documents\Antro\src\Antro.Application\BenefitDetailBuilder.cs", "C#", 0, 0, 0, 57, 0, 0, 0, 0, 7, 64
"c:\Users\Максим\Documents\Antro\src\Antro.Application\BenefitEvaluator.cs", "C#", 0, 0, 0, 284, 0, 0, 0, 0, 43, 327
"c:\Users\Максим\Documents\Antro\src\Antro.Application\BenefitPrioritySorter.cs", "C#", 0, 0, 0, 105, 0, 0, 0, 2, 19, 126
"c:\Users\Максим\Documents\Antro\src\Antro.Application\BenefitSectionGrouper.cs", "C#", 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\Максим\Documents\Antro\src\Antro.Application\BenefitViewModelMapper.cs", "C#", 0, 0, 0, 97, 0, 0, 0, 0, 13, 110
"c:\Users\Максим\Documents\Antro\src\Antro.Application\DashboardBuilder.cs", "C#", 0, 0, 0, 239, 0, 0, 0, 0, 41, 280
"c:\Users\Максим\Documents\Antro\src\Antro.Application\DeadlineEvaluator.cs", "C#", 0, 0, 0, 159, 0, 0, 0, 4, 19, 182
"c:\Users\Максим\Documents\Antro\src\Antro.Application\DemoProfiles.cs", "C#", 0, 0, 0, 19, 0, 0, 0, 3, 3, 25
"c:\Users\Максим\Documents\Antro\src\Antro.Application\IAmountEvaluator.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\Максим\Documents\Antro\src\Antro.Application\IAntroClock.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 2, 3, 14
"c:\Users\Максим\Documents\Antro\src\Antro.Application\IBenefitDetailBuilder.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\Максим\Documents\Antro\src\Antro.Application\IBenefitEvaluator.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\Максим\Documents\Antro\src\Antro.Application\IBenefitPrioritySorter.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\Максим\Documents\Antro\src\Antro.Application\IDashboardBuilder.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\Максим\Documents\Antro\src\Antro.Application\IDeadlineEvaluator.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\Максим\Documents\Antro\src\Antro.Application\IQuestionnaireFlow.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 5, 13
"c:\Users\Максим\Documents\Antro\src\Antro.Application\IStageShowcaseBuilder.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\Максим\Documents\Antro\src\Antro.Application\MoneyDisplayFormatter.cs", "C#", 0, 0, 0, 59, 0, 0, 0, 0, 14, 73
"c:\Users\Максим\Documents\Antro\src\Antro.Application\QuestionnaireFlow.cs", "C#", 0, 0, 0, 178, 0, 0, 0, 0, 20, 198
"c:\Users\Максим\Documents\Antro\src\Antro.Application\StageShowcaseBuilder.cs", "C#", 0, 0, 0, 122, 0, 0, 0, 2, 23, 147
"c:\Users\Максим\Documents\Antro\src\Antro.Application\ViewModels.cs", "C#", 0, 0, 0, 127, 0, 0, 0, 0, 21, 148
